ndb,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
5065,151.0,28.98,3.03,0.0,0.0,0.0,63.0
5166,189.0,28.55,7.39,0.06,0.0,0.0,103.0
5167,115.0,22.64,1.93,0.14,0.0,0.07,118.0
5168,159.0,29.06,3.84,0.0,0.0,0.0,101.0
5169,407.0,12.96,38.93,0.16,0.0,0.1,62.0
5174,155.0,26.45,4.64,0.0,0.0,0.0,127.0
5175,140.0,16.7,7.44,0.4,0.0,0.0,129.0
5176,174.0,24.88,7.52,0.0,0.0,0.0,140.0
5177,128.0,18.26,5.5,0.0,0.0,0.0,131.0
5178,189.0,27.0,8.18,0.0,0.0,0.0,98.0
5183,166.0,19.81,8.97,0.15,0.0,0.1,113.0
5184,206.0,27.27,9.95,0.07,0.0,0.0,105.0
5185,114.0,23.66,1.48,0.14,0.0,0.05,113.0
5186,147.0,30.13,2.08,0.0,0.0,0.0,99.0
5192,189.0,28.71,7.41,0.0,0.0,0.0,63.0
5193,144.0,19.54,6.72,0.0,0.0,0.0,74.0
5194,208.0,27.87,9.82,0.0,0.0,0.0,77.0
5195,197.0,20.22,12.32,0.0,0.0,0.0,55.0
5220,147.0,30.13,2.08,0.0,0.0,0.0,99.0
5227,115.0,23.66,1.48,0.14,0.0,0.05,113.0
5228,147.0,30.13,2.08,0.0,0.0,0.0,99.0
5236,482.0,19.03,44.45,0.0,0.0,0.0,44.0
5286,67.0,5.88,2.63,4.61,0.0,0.0,554.0
5293,126.0,22.16,3.46,0.0,0.0,0.0,397.0
5294,157.0,18.8,8.54,0.0,0.0,0.0,437.0
5295,120.0,17.6,2.2,6.4,0.0,0.0,678.0
5304,201.0,13.29,15.96,0.0,0.0,0.0,48.0
5305,148.0,19.66,7.66,0.0,0.0,0.0,58.0
5306,203.0,27.37,10.4,0.0,0.0,0.0,78.0
5307,200.0,17.15,14.02,0.0,0.0,0.0,61.0
5313,248.0,25.34,13.9,3.84,0.9,2.1,837.0
5314,108.0,20.32,3.0,0.0,0.0,0.0,173.0
5315,202.0,24.5,10.85,0.0,0.0,0.0,84.0
5316,140.0,27.6,2.5,0.0,0.0,0.0,105.0
5323,292.0,14.33,20.04,13.61,1.2,0.0,518.0
5324,287.0,14.85,19.58,12.84,0.3,0.0,532.0
5326,252.0,16.35,12.89,17.56,0.0,0.0,446.0
5327,263.0,14.73,15.75,15.01,1.1,0.37,536.0
5339,186.0,28.34,7.79,0.54,0.0,0.53,725.0
5341,205.0,25.34,11.54,0.0,0.0,0.0,661.0
5342,137.0,28.0,2.79,0.0,0.0,0.0,313.0
5343,176.0,28.74,6.81,0.0,0.0,0.0,417.0
5344,406.0,17.66,37.24,0.11,0.0,0.11,381.0
5349,215.0,26.86,11.98,0.02,0.0,0.02,411.0
5351,233.0,22.93,15.7,0.02,0.0,0.02,345.0
5352,266.0,24.34,18.77,0.04,0.0,0.04,610.0
5356,378.0,15.19,35.15,0.7,0.0,0.7,335.0
5724,115.0,19.27,4.12,0.15,0.0,0.1,167.0
5729,102.0,21.54,1.66,0.14,0.0,0.05,206.0
5730,127.0,26.97,2.08,0.0,0.0,0.0,238.0
5732,155.0,21.88,7.45,0.0,0.0,0.0,72.0
5733,164.0,29.01,5.33,0.05,0.0,0.0,114.0
5739,139.0,30.13,2.08,0.0,0.0,0.0,99.0
5740,108.0,21.28,2.5,0.15,0.0,0.1,124.0
5741,165.0,27.71,6.04,0.0,0.0,0.0,104.0
5742,161.0,19.54,9.16,0.0,0.0,0.0,75.0
5747,151.0,30.54,3.17,0.0,0.0,0.0,52.0
5748,145.0,28.24,3.61,0.0,0.0,0.0,172.0
5749,148.0,29.5,3.39,0.0,0.0,0.0,215.0
6001,69.0,1.82,3.26,8.52,0.4,0.72,669.0
6008,7.0,1.14,0.22,0.04,0.0,0.0,372.0
6009,67.0,3.85,2.46,7.16,0.6,2.06,653.0
6010,72.0,1.32,4.46,7.03,0.6,1.35,516.0
6011,82.0,0.8,3.92,11.3,2.2,3.73,692.0
6013,31.0,4.42,1.04,0.75,0.0,0.35,621.0
6019,48.0,2.37,1.55,6.07,0.9,0.0,681.0
6022,53.0,5.11,1.33,5.41,0.4,0.6,370.0
6023,68.0,1.84,1.56,11.57,0.9,0.23,645.0
6024,33.0,1.97,0.73,4.68,0.9,1.01,229.0
6030,72.0,3.17,2.06,10.32,0.7,0.38,516.0
6032,11.0,2.52,0.0,0.32,0.0,0.0,694.0
6037,56.0,3.74,1.12,8.16,0.0,0.0,532.0
6039,53.0,2.13,1.17,8.64,2.4,2.17,288.0
6045,46.0,3.06,1.42,6.68,0.7,2.72,516.0
