cluster_id,sub_leaf_label,product_description,branded_food_category,best_esha_description,l1_tree_label,l1_modal_bfc,ingredients_top5,ingredients_top5_cats,has_cocoa,has_milk,has_egg,has_cream,has_batter,has_hot_dog,has_almond,has_lime,has_lemon,has_chipotle,has_pumpkin,what_should_it_be
662,other,"UNSWEET ORGANIC ALMONDMILK, UNSWEET",Plant Based Milk,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Organic Almondmilk | Salt | Vitamin and Mineral Blend | Locust Bean Gum | Gellan Gum,dairy | mineral | vitamin | thickener | thickener,,Y,,,,,Y,,,,,almond_milk > unsweetened
662,other,"UNSWEETENED ALMONDMILK, UNSWEETENED",Plant Based Milk,"Almond Milk, Almond Breeze, original, unsweetened","Almond Milk, plain",Plant Based Milk,Almondmilk | Vitamin and Mineral Blend | Sea Salt | Locust Bean Gum | Gellan Gum,dairy | vitamin | mineral | thickener | thickener,,Y,,,,,Y,,,,,almond_milk > unsweetened
662,other,"ORIGINAL ORGANIC ALMONDMILK, ORIGINAL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Organic Almondmilk | Organic Cane Sugar | Salt | Vitamin and Mineral Blend | Locust Bean Gum,dairy | sweetener | mineral | vitamin | thickener,,Y,,,,,Y,,,,,almond_milk > original
662,other,"CHOCOLATE PEA, ALMOND AND CASHEWMILK, CHOCOLATE ALMOND CASHEW",Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Almondmilk | Cashewmilk | Cane Sugar | Pea Protein | High Oleic Sunflower Oil,dairy | dairy | sweetener | protein | oil_fat,Y,Y,,,,,Y,,,,,almond_milk > chocolate
662,other,OMEGA-3 ALA ALMOND CASHEWMILK & COLD-PRESSED FLAX OIL,Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Almondmilk | Cashewmilk | Cane Sugar | Vitamin and Mineral Blend | Cold-Pressed Flax Oil,dairy | dairy | sweetener | vitamin | oil_fat,,Y,,,,,Y,,,,,almond_milk > plain
662,other,PREBIOTICS ALMOND CASHEWMILK & OATS,Plant Based Milk,,"Almond Milk, plain",Plant Based Milk,Almondmilk | Cashewmilk | Chicory Root Extract | Vitamin and Mineral Blend | Whole Oat Flour,dairy | dairy | fiber | vitamin | grain,,Y,,,,,Y,,,,,almond_milk > plain
662,other,"ORIGINAL COCONUTMILK, ORIGINAL",Plant Based Milk,"Cream Substitute, coconut milk, original","Almond Milk, plain",Plant Based Milk,Coconutmilk | Cane Sugar | Potassium Citrate | Sodium Citrate | Acacia Gum,dairy | sweetener | acid | acid | stabilizer,,Y,,,,,,,,,,
662,other,"ORIGINAL ALMONDMILK, ORIGINAL",Plant Based Milk,"Almond Milk, plain","Almond Milk, plain",Plant Based Milk,Almondmilk | Cane Sugar | Potassium Citrate | Sodium Citrate | Acacia Gum,dairy | sweetener | acid | acid | stabilizer,,Y,,,,,Y,,,,,almond_milk > original
662,other,"ORIGINAL SOYMILK, ORIGINAL",Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Sea Salt | Gellan Gum | Calcium Carbonate,dairy | sweetener | mineral | thickener | mineral,,Y,,,,,,,,,,
662,other,"UNSWEET ORGANIC SOYMILK, UNSWEET",Plant Based Milk,"Soy Milk, all flavors, unsweetened, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Organic Soymilk | Vitamin and Mineral Blend | Sea Salt | Gellan Gum | Vitamin C,dairy | vitamin | mineral | thickener | vitamin,,Y,,,,,,,,,,
662,other,"CHOCOLATE SOYMILK, CHOCOLATE",Plant Based Milk,"Soy Milk, chocolate, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Vitamin & Mineral Blend | Cocoa | Sea Salt,dairy | sweetener | vitamin | produce | mineral,Y,Y,,,,,,,,,,milk > chocolate
662,other,"CHOCOLATE SOYMILK, CHOCOLATE",Plant Based Milk,"Soy Milk, chocolate, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Cocoa | Vitamin and Mineral Blend | Sea Salt,dairy | sweetener | produce | vitamin | mineral,Y,Y,,,,,,,,,,milk > chocolate
662,other,"ORIGINAL SOYMILK, ORIGINAL",Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Natural Flavor,dairy | sweetener | vitamin | mineral | flavor_enhan,,Y,,,,,,,,,,
662,other,"ORIGINAL SOYMILK, ORIGINAL",Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Natural Flavor,dairy | sweetener | vitamin | mineral | flavor_enhan,,Y,,,,,,,,,,
662,other,"ORIGINAL SOY MILK, ORIGINAL",Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Natural Flavor,dairy | sweetener | vitamin | mineral | flavor_enhan,,Y,,,,,,,,,,
662,other,"ORIGINAL DAIRY-FREE SOY NOG, ORIGINAL",Milk,"Soy Milk, nog","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Locust Bean Gum | Sea Salt | Rum,dairy | sweetener | thickener | mineral | alcohol,,Y,,,,,,,,,,
662,other,SOYMILK,Plant Based Milk,"Soy Milk, with added calcium vitamins A & D","Almond Milk, plain",Plant Based Milk,Soymilk | Cane Sugar | Vitamin and Mineral Blend | Sea Salt | Natural Flavor,dairy | sweetener | vitamin | mineral | flavor_enhan,,Y,,,,,,,,,,
