fndds_code,protein_g,fat_g,carbs_g,fiber_g,sugar_g,energy_kcal,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b3_mg,vitamin_b5_mg,vitamin_b6_mg,vitamin_b9_mcg,vitamin_b12_mcg,vitamin_c_mg,vitamin_d_mcg,vitamin_e_mg,vitamin_k_mcg,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,manganese_mg,selenium_mcg,sat_fat_g,trans_fat_g,mufa_g,pufa_g,dha_g,epa_g,ala_g,linoleic_g,cholesterol_mg
58106320,9.96,8.37,29.86,2.2,3.63,234.0,61.0,0.342,0.171,3.334,0.0,0.093,82.0,0.36,5.9,0.0,0.75,6.5,164.0,2.18,22.0,190.0,171.0,465.0,1.18,0.1,0.0,17.2,3.846,0.0,2.247,1.459,0.0,0.003,0.153,1.271,15.0
58106325,10.31,8.69,30.71,2.2,3.62,242.0,63.0,0.354,0.177,3.455,0.0,0.09,85.0,0.38,4.8,0.0,0.77,6.5,170.0,2.26,23.0,196.0,171.0,484.0,1.22,0.101,0.0,17.9,3.999,0.0,2.336,1.514,0.0,0.004,0.159,1.318,15.0
58106330,9.74,9.39,30.43,2.1,3.41,245.0,63.0,0.33,0.181,3.142,0.0,0.072,96.0,0.31,4.8,0.0,0.76,9.5,161.0,2.24,22.0,189.0,169.0,480.0,1.15,0.1,0.0,16.1,3.761,0.0,2.31,2.457,0.0,0.004,0.276,2.146,15.0
58106345,8.68,7.8,25.98,2.1,3.31,208.0,52.0,0.291,0.18,3.11,0.0,0.088,71.0,0.31,5.9,0.0,0.75,5.6,144.0,2.3,20.0,168.0,180.0,441.0,1.05,0.134,0.0,16.1,3.385,0.0,2.417,1.282,0.0,0.003,0.129,1.124,12.0
58106347,9.29,8.22,27.63,2.1,3.37,221.0,56.0,0.313,0.183,3.27,0.0,0.087,76.0,0.33,4.9,0.0,0.77,5.9,154.0,2.34,21.0,179.0,178.0,463.0,1.11,0.128,0.0,17.0,3.627,0.0,2.46,1.371,0.0,0.003,0.139,1.2,13.0
58106350,9.51,9.46,29.44,2.1,3.23,240.0,61.0,0.318,0.192,3.178,0.0,0.067,93.0,0.3,3.5,0.0,0.78,9.0,158.0,2.39,21.0,185.0,174.0,490.0,1.13,0.119,0.0,16.4,3.71,0.0,2.499,2.396,0.0,0.003,0.265,2.096,15.0
58106358,9.51,8.06,30.01,2.1,4.93,230.0,58.0,0.332,0.167,3.201,0.0,0.084,79.0,0.35,9.2,0.0,0.69,5.7,158.0,2.06,22.0,180.0,164.0,447.0,1.13,0.102,0.0,16.5,3.697,0.0,2.16,1.398,0.0,0.003,0.149,1.215,14.0
58106359,9.96,8.45,30.81,2.1,4.61,239.0,60.0,0.346,0.173,3.35,0.0,0.083,82.0,0.36,7.4,0.0,0.72,5.9,165.0,2.16,23.0,188.0,166.0,469.0,1.18,0.102,0.0,17.3,3.881,0.0,2.268,1.466,0.0,0.003,0.156,1.274,15.0
58106360,9.57,9.3,30.89,2.0,4.31,246.0,61.0,0.327,0.18,3.102,0.0,0.065,95.0,0.31,6.7,0.0,0.72,8.9,159.0,2.19,22.0,185.0,164.0,475.0,1.13,0.102,0.0,15.9,3.722,0.0,2.286,2.428,0.0,0.004,0.274,2.118,15.0
58106512,12.25,12.71,27.52,2.9,3.54,274.0,69.0,0.11,0.133,1.455,0.0,0.14,83.0,0.65,0.1,0.1,0.75,4.3,218.0,2.1,24.0,212.0,204.0,523.0,1.53,0.091,0.0,21.8,6.257,0.0,3.853,1.824,0.0,0.003,0.113,1.657,25.0
58106514,11.46,13.07,27.8,2.5,3.49,275.0,66.0,0.162,0.196,1.873,0.0,0.116,60.0,0.72,0.6,0.1,0.88,5.4,196.0,2.17,23.0,195.0,180.0,504.0,1.45,0.156,0.0,21.8,5.492,0.0,4.33,1.907,0.0,0.002,0.14,1.707,21.0
58106516,10.66,13.43,28.08,2.1,3.45,276.0,64.0,0.213,0.258,2.291,0.0,0.092,37.0,0.8,1.2,0.0,1.01,6.6,174.0,2.24,23.0,178.0,156.0,485.0,1.36,0.222,0.0,21.8,4.727,0.0,4.806,1.99,0.0,0.0,0.167,1.756,17.0
58106540,11.74,11.91,31.98,2.3,3.26,282.0,70.0,0.43,0.22,4.14,0.0,0.08,92.0,0.5,0.9,0.0,0.87,6.4,153.0,2.52,24.0,198.0,195.0,620.0,1.4,0.113,0.0,23.6,5.092,0.0,3.853,2.064,0.001,0.004,0.188,1.798,25.0
58106550,11.74,11.91,31.98,2.3,3.26,282.0,70.0,0.43,0.22,4.14,0.0,0.08,92.0,0.5,0.9,0.0,0.87,6.4,153.0,2.52,24.0,198.0,195.0,620.0,1.4,0.113,0.0,23.6,5.092,0.0,3.853,2.064,0.001,0.004,0.188,1.798,25.0
58106555,11.74,11.91,31.98,2.3,3.26,282.0,70.0,0.43,0.22,4.14,0.0,0.08,92.0,0.5,0.9,0.0,0.87,6.4,153.0,2.52,24.0,198.0,195.0,620.0,1.4,0.113,0.0,23.6,5.092,0.0,3.853,2.064,0.001,0.004,0.188,1.798,25.0
58106560,11.49,12.58,31.84,2.2,2.93,287.0,71.0,0.39,0.2,3.5,0.0,0.08,103.0,0.51,0.7,0.0,0.87,11.5,148.0,2.55,23.0,195.0,189.0,620.0,1.35,0.109,0.0,20.0,4.839,0.0,3.731,2.98,0.0,0.003,0.303,2.601,24.0
58106565,12.92,15.01,27.19,1.5,2.62,296.0,106.0,0.318,0.326,3.882,0.0,0.143,82.0,0.49,2.8,0.1,0.7,8.1,217.0,1.97,22.0,240.0,233.0,709.0,1.58,0.082,0.0,17.3,6.984,0.0,4.527,1.831,0.0,0.003,0.156,1.598,37.0
58106570,12.78,8.62,31.24,4.3,7.62,254.0,75.0,0.347,0.337,3.729,0.0,0.187,55.0,2.16,0.0,0.0,0.8,5.2,202.0,2.74,51.0,316.0,382.0,495.0,2.51,0.1,0.0,23.4,2.81,0.0,2.12,2.23,0.0,0.006,0.188,1.954,24.0
58106578,13.56,9.22,29.77,4.3,5.82,256.0,59.0,0.279,0.31,3.124,0.0,0.165,57.0,1.68,0.1,0.0,0.8,8.0,178.0,2.64,46.0,310.0,345.0,484.0,2.22,0.09,0.0,22.7,3.515,0.0,2.505,1.72,0.0,0.004,0.125,1.328,24.0
58106580,14.35,9.82,28.3,4.3,4.03,259.0,43.0,0.211,0.284,2.519,0.0,0.143,59.0,1.19,0.2,0.0,0.81,10.8,155.0,2.53,41.0,305.0,308.0,474.0,1.93,0.079,0.0,22.0,4.219,0.0,2.89,1.21,0.0,0.002,0.062,0.701,24.0
58106602,12.34,12.1,26.98,2.8,3.56,267.0,69.0,0.117,0.135,1.586,0.0,0.145,81.0,0.65,0.1,0.1,0.74,3.9,213.0,2.08,24.0,210.0,208.0,491.0,1.55,0.09,0.0,21.3,5.933,0.0,3.612,1.918,0.0,0.003,0.115,1.739,25.0
